,Open,High,Low,Close,Volume,Adj Close,Subjectivity,Objectivity,Positive,Neutral,Negative
0,1881,1884,1907,1886,209,1886,95,25,0,25,99
1,1779,1853,1823,1882,902,1882,120,0,96,0,0
2,1689,1735,1711,1767,560,1767,111,9,0,9,106
3,1650,1663,1663,1676,634,1676,64,56,0,56,84
4,1669,1654,1638,1636,965,1636,42,78,36,78,34
5,1891,1862,1688,1672,1603,1672,80,40,72,40,34
6,1847,1889,1885,1910,432,1910,120,0,0,0,109
7,1844,1849,1851,1814,307,1814,105,15,64,15,84
8,1841,1823,1866,1838,246,1838,101,19,0,19,101
9,1795,1861,1839,1822,450,1822,80,40,0,40,92
10,1791,1747,1772,1759,1633,1759,120,0,0,0,109
11,1739,1759,1714,1791,348,1791,108,12,0,12,105
12,1774,1767,1783,1746,389,1746,80,40,36,40,69
13,1776,1748,1770,1758,383,1758,120,0,0,0,109
14,1842,1830,1835,1789,488,1789,120,0,96,0,0
15,1889,1858,1873,1853,323,1853,89,31,51,31,69
16,1898,1886,1906,1901,67,1901,58,62,46,62,42
17,1884,1891,1914,1908,77,1908,120,0,87,0,92
18,1887,1885,1918,1884,150,1884,23,97,0,97,54
19,1838,1863,1877,1877,83,1877,120,0,0,0,109
20,1824,1804,1814,1823,211,1823,111,9,91,9,42
21,1821,1807,1818,1841,111,1841,115,5,78,5,92
22,1803,1793,1799,1816,148,1816,108,12,78,12,77
23,1869,1836,1829,1815,1047,1815,120,0,87,0,92
24,1839,1821,1880,1856,92,1856,95,25,46,25,81
25,1856,1824,1868,1836,64,1836,120,0,91,0,81
26,1793,1829,1838,1848,164,1848,101,19,72,19,69
27,1708,1754,1738,1771,269,1771,113,7,36,7,101
28,1701,1686,1717,1693,287,1693,120,0,89,0,84
29,1686,1691,1705,1695,632,1695,101,19,72,19,69
30,1705,1679,1681,1682,410,1682,120,0,58,0,105
31,1699,1715,1700,1704,160,1704,105,15,64,15,84
32,1773,1733,1713,1706,515,1706,101,19,72,19,69
33,1712,1761,1741,1772,295,1772,105,15,31,15,98
34,1777,1750,1736,1708,272,1708,120,0,0,0,109
35,1777,1788,1781,1780,297,1780,105,15,64,15,84
36,1880,1846,1822,1773,281,1773,95,25,91,25,0
37,1786,1854,1831,1881,115,1881,101,19,36,19,92
38,1801,1778,1802,1770,253,1770,120,0,0,0,109
39,1755,1756,1763,1795,175,1795,80,40,0,40,92
40,1760,1752,1778,1752,202,1752,111,9,81,9,81
41,1792,1753,1776,1750,402,1750,101,19,36,19,92
42,1859,1820,1804,1799,423,1799,95,25,46,25,81
43,1818,1841,1853,1863,177,1863,92,28,0,28,98
44,1830,1796,1793,1808,938,1808,80,40,0,40,92
45,1917,1899,1864,1839,476,1839,116,4,84,4,86
46,1910,1916,1909,1928,596,1928,80,40,0,40,92
47,1906,1905,1916,1903,357,1903,108,12,0,12,105
48,1909,1881,1887,1896,225,1896,113,7,72,7,92
49,1904,1893,1905,1906,914,1906,120,0,94,0,54
50,1944,1930,1927,1899,506,1899,23,97,26,97,24
51,1936,1953,1949,1943,465,1943,120,0,96,0,0
52,1912,1928,1935,1932,311,1932,120,0,87,0,92
53,1867,1888,1886,1907,306,1907,108,12,87,12,54
54,1882,1856,1893,1865,715,1865,80,40,0,40,92
55,1878,1867,1898,1879,239,1879,111,9,91,9,42
56,1798,1845,1840,1872,343,1872,120,0,46,0,106
57,1726,1755,1751,1782,196,1782,101,19,87,19,34
58,1728,1745,1753,1718,574,1718,120,0,87,0,92
59,1719,1730,1739,1723,174,1723,95,25,46,25,81
60,1769,1728,1722,1711,318,1711,120,0,0,0,109
61,1742,1743,1746,1775,452,1775,0,120,0,120,0
62,1782,1741,1762,1732,677,1732,95,25,46,25,81
63,1823,1791,1821,1792,249,1792,95,25,46,25,81
64,1758,1794,1758,1819,540,1819,120,0,87,0,92
65,1780,1760,1803,1763,504,1763,64,56,64,56,28
66,1756,1782,1794,1776,167,1776,42,78,36,78,34
67,1704,1718,1704,1743,264,1743,58,62,0,62,81
68,1709,1696,1728,1709,73,1709,120,0,0,0,109
69,1693,1680,1697,1702,232,1702,101,19,72,19,69
70,1730,1698,1725,1697,234,1697,111,9,81,9,81
71,1740,1720,1744,1725,409,1725,120,0,0,0,109
72,1731,1719,1750,1741,237,1741,31,89,31,89,28
73,1691,1708,1718,1730,1751,1730,80,40,26,40,77
74,1667,1684,1679,1687,714,1687,58,62,46,62,42
75,1660,1657,1664,1661,723,1661,23,97,0,97,54
76,1656,1645,1649,1654,364,1654,80,40,0,40,92
77,1653,1648,1659,1651,418,1651,92,28,64,28,61
78,1604,1640,1622,1648,788,1648,111,9,0,9,106
79,1601,1619,1572,1593,708,1593,105,15,0,15,103
80,1589,1590,1601,1594,697,1594,120,0,72,0,101
81,1611,1598,1594,1582,588,1582,101,19,72,19,69
82,1599,1606,1599,1616,467,1616,42,78,0,78,69
83,1582,1594,1587,1597,569,1597,80,40,0,40,92
84,1569,1566,1570,1576,331,1576,108,12,58,12,92
85,1564,1559,1560,1563,530,1563,80,40,58,40,54
86,1509,1553,1525,1560,544,1560,42,78,0,78,69
87,1528,1531,1516,1495,824,1495,111,9,0,9,106
88,1539,1541,1536,1523,438,1523,120,0,58,0,105
89,1492,1525,1502,1533,388,1533,120,0,0,0,109
90,1456,1465,1414,1483,379,1483,98,22,26,22,92
91,1524,1505,1485,1459,433,1459,120,0,0,0,109
92,1454,1517,1491,1521,498,1521,95,25,46,25,81
93,1452,1420,1442,1443,917,1443,120,0,72,0,101
94,1484,1468,1478,1450,542,1450,92,28,0,28,98
95,1401,1454,1423,1471,798,1471,42,78,36,78,34
96,1362,1378,1376,1392,997,1392,101,19,72,19,69
